date,gross_return,cost,net_return,benchmark_return,turnover,n_selected,strategy_nav,gross_nav,benchmark_nav,excess_nav,drawdown,score_col
2024-04-16,-0.013002759874469427,0.001,-0.014002759874469427,0.003257052043431172,1.0,10,0.9859972401255306,0.9869972401255306,1.0032570520434312,0.9827962216834202,0.0,score_random_forest
2024-04-23,0.052928834349921496,0.0008,0.05212883434992149,0.03354113751906528,0.8,10,1.037396126925514,1.0392378535519644,1.0369074347929919,1.0004712977418468,0.0,score_random_forest
2024-04-30,6.463680893138423e-05,0.0016,-0.0015353631910686159,0.0050714298974818,1.6,10,1.0358033470976755,1.0393050265705388,1.0421660381587223,0.9938947434208388,-0.0015353631910686172,score_random_forest
2024-05-10,0.010602308747564126,0.0008,0.009802308747564126,0.010507630388796424,0.8,10,1.0459566113076872,1.050324059345135,1.0531167336914504,0.9932010173661707,0.0,score_random_forest
2024-05-17,-0.02363956840894852,0.0008,-0.02443956840894852,-0.018965912397056157,0.8,10,1.020393883152841,1.0254948518926812,1.0331434139763844,0.9876594762633458,-0.024439568408948564,score_random_forest
2024-05-24,-0.015142228584780426,0.001,-0.016142228584780427,-0.007065218864642689,1.0,10,1.003922451844476,1.0099665744328066,1.025844029638077,0.9786306912549512,-0.04018728789395842,score_random_forest
2024-05-31,-0.02714737129603898,0.0012000000000000001,-0.02834737129603898,-0.0007354008509647392,1.2000000000000002,10,0.9754638893496109,0.9825486368400906,1.0250896230657243,0.9515888829625471,-0.0673954552186865,score_random_forest
2024-06-07,-0.027369650877374162,0.0018000000000000002,-0.02916965087737416,-0.00911824899313356,1.8,10,0.9470099482537973,0.9556566236797375,1.0157426006423336,0.9323326083349549,-0.09459920419660983,score_random_forest
2024-06-17,-0.01872267441069806,0.0012000000000000001,-0.01992267441069806,-0.013493412632864242,1.2000000000000002,10,0.9281429773910448,0.9377641758661547,1.002036766603088,0.9262564092707459,-0.1126372094625877,score_random_forest
2024-06-24,0.00040548043372936606,0.0012000000000000001,-0.000794519566270634,0.010887412823374177,1.2000000000000002,10,0.9274055496352109,0.9381444208909209,1.012946354545295,0.9155524825907658,-0.11334223656205022,score_random_forest
2024-07-01,-0.044022971079581974,0.0008,-0.044822971079581976,-0.02152927791631628,0.8,10,0.885836477504868,0.8968445161815687,0.9911383509639698,0.8937566351290045,-0.15308487185011632,score_random_forest
