epoch,train_loss,val_loss
1,0.021336128435602102,0.0020311800498430703
2,0.004068813199410215,0.0016070401038494751
3,0.0025196461804929036,0.0015626130184638455
4,0.0023486274294555187,0.0015422911453766353
5,0.002329363618628122,0.0015598355711324875
6,0.00232958167543984,0.0015563408466705093
7,0.002324558862407381,0.0015569382389499383
8,0.0023220950133691076,0.0015774311720054936
9,0.002325740794428081,0.0015641875215806067
10,0.0023213973230061433,0.0015705561320029312
11,0.0023231106655051312,0.001570041510135387
12,0.0023163544804750322,0.0015521353819746184
13,0.0023143940306908917,0.0015884875020040481
14,0.0023103080263050892,0.001555297748630189
