date,gross_return,cost,net_return,benchmark_return,turnover,n_selected,strategy_nav,gross_nav,benchmark_nav,excess_nav,drawdown,score_col
2024-04-16,-0.026481772935378,0.001,-0.027481772935378002,0.003257052043431172,1.0,10,0.972518227064622,0.973518227064622,1.0032570520434312,0.9693609679431603,0.0,score_lightgbm
2024-04-23,0.0620224868099062,0.0012000000000000001,0.0608224868099062,0.03354113751906528,1.2000000000000002,10,1.0316692041026532,1.0338982484619408,1.0369074347929919,0.9949482176377832,0.0,score_lightgbm
2024-04-30,0.020024420361160457,0.001,0.019024420361160456,0.0050714298974818,1.0,10,1.0512961127151659,1.05460146159981,1.0421660381587223,1.0087606717376574,0.0,score_lightgbm
2024-05-10,-0.007935740049432548,0.0006000000000000001,-0.008535740049432548,0.010507630388796424,0.6000000000000001,10,1.0423225223820503,1.0462324185448024,1.0531167336914504,0.9897502233474502,-0.008535740049432583,score_lightgbm
2024-05-17,-0.021885002754017446,0.001,-0.022885002754017447,-0.018965912397056157,1.0,10,1.0184689685867625,1.0233356191836072,1.0331434139763844,0.9857963132793514,-0.031225402368911248,score_lightgbm
2024-05-24,-0.009595045733738438,0.0012000000000000001,-0.010795045733738438,-0.007065218864642689,1.2000000000000002,10,1.007474549492475,1.013516667116577,1.025844029638077,0.9820933011112002,-0.04168336845602283,score_lightgbm
2024-05-31,-0.004957765565776717,0.001,-0.005957765565776717,-0.0007354008509647392,1.0,10,1.0014722523131123,1.0084918890840056,1.0250896230657243,0.9769606771728118,-0.04739279428454679,score_lightgbm
2024-06-07,-0.025857705446530134,0.0012000000000000001,-0.027057705446530134,-0.00911824899313356,1.2000000000000002,10,0.974374711097151,0.9824146028708567,1.0157426006423336,0.9592732553315945,-0.07316815946303767,score_lightgbm
2024-06-17,-0.033350407561927385,0.0008,-0.03415040756192739,-0.013493412632864242,0.8,10,0.941099417595148,0.9496506754703246,1.002036766603088,0.9391865138696277,-0.10481984455874627,score_lightgbm
2024-06-24,0.00935668946279511,0.001,0.008356689462795108,0.010887412823374177,1.0,10,0.948963893181608,0.9585362619388341,1.012946354545295,0.9368352913492558,-0.097339101986467,score_lightgbm
2024-07-01,-0.03861637718628309,0.0012000000000000001,-0.03981637718628309,-0.02152927791631628,1.2000000000000002,10,0.9111795888745254,0.9215210641010743,0.9911383509639698,0.919326336215648,-0.13327978877308289,score_lightgbm
2024-07-08,0.028634780773871892,0.0014000000000000002,0.02723478077387189,0.025098040790685023,1.4000000000000001,10,0.93599536522315,0.9479086177501136,1.016013981725676,0.9212426030135764,-0.10967485382803377,score_lightgbm
2024-07-15,0.015416359396008206,0.001,0.014416359396008206,0.015128642122235776,1.0,10,0.949489010801205,0.9625219176759227,1.0313848936463916,0.9205961970650459,-0.09683960654151502,score_lightgbm
2024-07-22,-0.02203391701917453,0.0016,-0.02363391701917453,-0.02319522853644016,1.6,10,0.9270488663093112,0.9413137896127146,1.0074616853292315,0.9201827521672529,-0.11818482433551791,score_lightgbm
2024-07-29,-0.017313408339521864,0.0012000000000000001,-0.018513408339521864,-0.001489114072665948,1.2000000000000002,10,0.9098860320966361,0.9250164395975269,1.005961459955936,0.9044939277658725,-0.13451022876258167,score_lightgbm
2024-08-05,-0.010548074373251703,0.0008,-0.011348074373251704,-0.01323894798366991,0.8,10,0.8995605777332206,0.9152592973961717,0.9926435885140029,0.9062271576043437,-0.14433187105587242,score_lightgbm
2024-08-12,0.014493223738117188,0.001,0.013493223738117188,0.017300120475753425,1.0,10,0.9116985498745649,0.9285243551717264,1.0098164421847795,0.9028359133290279,-0.1327861495464533,score_lightgbm
2024-08-19,-0.03274045074584481,0.0016,-0.034340450745844804,-0.013937801557558497,1.6,10,0.8803904107275393,0.8981240492549091,0.9957418210040483,0.8841553022648027,-0.1625666640640676,score_lightgbm
2024-08-26,0.0016845853967578316,0.001,0.0006845853967578316,-0.017860468094847964,1.0,10,0.880993113146169,0.8996370159127608,0.9779574059792997,0.9008501881162878,-0.16199336943152776,score_lightgbm
2024-09-02,-0.028526827896176554,0.0016,-0.030126827896176555,-0.017061987984047487,1.6,10,0.8544515852486976,0.8739732255907876,0.9612715084695707,0.8888764284807111,-0.18723985096651885,score_lightgbm
