date,factor,ic,rank_ic
2021-01-08,volatility_5,-0.02649387565212548,-0.07420212765957447
2021-01-08,volatility_10,,
2021-01-08,volatility_20,,
2021-01-08,volatility_60,,
2021-01-08,amplitude_5,-0.2360818153660187,-0.17329227323628218
2021-01-08,amplitude_10,-0.2360818153660187,-0.17329227323628218
2021-01-08,amplitude_20,,
2021-01-08,volume_mean_5,0.2809957980218894,0.21566349384098546
2021-01-08,volume_mean_20,,
2021-01-08,volume_mean_60,,
2021-01-08,amount_mean_5,-0.19421418228392423,-0.19161534154535276
2021-01-08,amount_mean_20,,
2021-01-08,amount_mean_60,,
2021-01-08,turnover_mean_5,-0.21606114973785495,-0.20477323628219485
2021-01-08,turnover_mean_20,,
2021-01-08,turnover_mean_60,,
2021-01-08,corr_ret_volume_10,,
2021-01-08,corr_ret_volume_20,,
2021-01-08,corr_close_volume_20,,
2021-01-08,corr_ret_amount_20,,
2021-01-08,volume_chg_5_20,,
2021-01-08,amount_chg_5_20,,
2021-01-08,turnover_chg_5_20,,
2021-01-08,close_to_high_20,,
2021-01-08,close_to_low_20,,
2021-01-08,close_position_20,,
2021-01-08,close_position_60,,
2021-01-08,ret_20_div_vol_20,,
2021-01-08,ret_60_div_vol_60,,
2021-01-11,ret_1,0.28602506755045265,0.24103527798047214
2021-01-11,ret_3,0.20934361341937754,0.2936390454911789
2021-01-11,ret_5,0.26480304349795414,0.17875452748968512
2021-01-11,ret_10,,
2021-01-11,ret_20,,
2021-01-11,ret_60,,
2021-01-11,ret_120,,
2021-01-11,volatility_5,0.017748976994524282,-0.04165048169986904
2021-01-11,volatility_10,0.017748976994524282,-0.04165048169986904
2021-01-11,volatility_20,,
2021-01-11,volatility_60,,
2021-01-11,amplitude_5,0.08008982614529209,-0.0036254326198172006
2021-01-11,amplitude_10,0.03385945635045806,-0.043078258252847244
2021-01-11,amplitude_20,,
2021-01-11,volume_mean_5,0.24726861021819044,0.21560125840438005
2021-01-11,volume_mean_20,,
2021-01-11,volume_mean_60,,
2021-01-11,amount_mean_5,-0.0891457301955387,-0.14750191595105697
2021-01-11,amount_mean_20,,
2021-01-11,amount_mean_60,,
2021-01-11,turnover_mean_5,0.02000241485723099,-0.06607665900327064
2021-01-11,turnover_mean_20,,
2021-01-11,turnover_mean_60,,
2021-01-11,corr_ret_volume_10,0.26336406535574175,0.20758751255555632
2021-01-11,corr_ret_volume_20,,
2021-01-11,corr_close_volume_20,,
2021-01-11,corr_ret_amount_20,,
2021-01-11,volume_chg_5_20,,
2021-01-11,amount_chg_5_20,,
2021-01-11,turnover_chg_5_20,,
2021-01-11,close_to_high_20,,
2021-01-11,close_to_low_20,,
2021-01-11,close_position_20,,
2021-01-11,close_position_60,,
2021-01-11,ret_20_div_vol_20,,
2021-01-11,ret_60_div_vol_60,,
2021-01-12,ret_1,-0.34405182228082454,-0.3453100450854089
2021-01-12,ret_3,0.04165373120643495,0.11141597283538938
2021-01-12,ret_5,-0.09996064754573587,-0.09437290033594625
2021-01-12,ret_10,,
2021-01-12,ret_20,,
2021-01-12,ret_60,,
2021-01-12,ret_120,,
