model,total_return,annual_return,annual_volatility,sharpe,max_drawdown,turnover,benchmark_annual_return,excess_total_return
random_forest,0.19225760237320721,0.2977990230745109,0.34608577732523893,0.9110527653434191,-0.17536499345649625,1.0352941176470587,0.3176428327501417,-0.010184640036985382
xgboost,0.15498640036572775,0.2381150654047559,0.31354320461872076,0.8264189438426861,-0.1573602303606193,1.0647058823529414,0.3176428327501417,-0.04112728880504879
lightgbm,0.10037615430681113,0.1523347962969086,0.31601832855931755,0.5947242354714211,-0.18723985096651885,1.0941176470588236,0.3176428327501417,-0.0864648570058133
mlp,0.19091107493455683,0.29562689296403155,0.1819833070081934,1.5132724181664534,-0.08458805367410682,1.1882352941176473,0.3176428327501417,-0.011302530615946549
